 v-sweep         v(Y)            v(S)            v(A)            v(B)           
 1.62000000e+00  1.79999998e+00  0.00000000e+00  1.62000000e+00  1.80000000e+00 
 1.63000000e+00  1.79999998e+00  0.00000000e+00  1.63000000e+00  1.80000000e+00 
 1.64000000e+00  1.79999998e+00  0.00000000e+00  1.64000000e+00  1.80000000e+00 
 1.65000000e+00  1.79999998e+00  0.00000000e+00  1.65000000e+00  1.80000000e+00 
 1.66000000e+00  1.79999998e+00  0.00000000e+00  1.66000000e+00  1.80000000e+00 
 1.67000000e+00  1.79999998e+00  0.00000000e+00  1.67000000e+00  1.80000000e+00 
 1.68000000e+00  1.79999998e+00  0.00000000e+00  1.68000000e+00  1.80000000e+00 
 1.69000000e+00  1.79999998e+00  0.00000000e+00  1.69000000e+00  1.80000000e+00 
 1.70000000e+00  1.79999998e+00  0.00000000e+00  1.70000000e+00  1.80000000e+00 
 1.71000000e+00  1.79999998e+00  0.00000000e+00  1.71000000e+00  1.80000000e+00 
 1.72000000e+00  1.79999998e+00  0.00000000e+00  1.72000000e+00  1.80000000e+00 
 1.73000000e+00  1.79999998e+00  0.00000000e+00  1.73000000e+00  1.80000000e+00 
 1.74000000e+00  1.79999998e+00  0.00000000e+00  1.74000000e+00  1.80000000e+00 
 1.75000000e+00  1.79999998e+00  0.00000000e+00  1.75000000e+00  1.80000000e+00 
 1.76000000e+00  1.79999998e+00  0.00000000e+00  1.76000000e+00  1.80000000e+00 
 1.77000000e+00  1.79999998e+00  0.00000000e+00  1.77000000e+00  1.80000000e+00 
 1.78000000e+00  1.79999998e+00  0.00000000e+00  1.78000000e+00  1.80000000e+00 
 1.79000000e+00  1.79999999e+00  0.00000000e+00  1.79000000e+00  1.80000000e+00 
 1.80000000e+00  1.79999999e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00 
